ID,EQUIP_ID,CONNECTIVITYNODE_ID
TMP00049513,TMP00036239,-8276250
TMP00049514,TMP00036240,-8276249
TMP00049515,TMP00036241,-8276248
TMP00049516,TMP00036242,-8276155
TMP00049517,TMP00036243,-8276154
TMP00049518,TMP00036244,-8276147
TMP00049519,TMP00036245,-8276065
TMP00049520,TMP00036246,-8276064
TMP00049521,TMP00036247,-8276063
TMP00049522,TMP00036248,-8276062
TMP00049523,TMP00036249,-8276059
TMP00049524,TMP00036250,-8276056
TMP00049525,TMP00036251,-8276049
TMP00049526,TMP00036252,-7947010
TMP00049527,TMP00036253,-7947015
TMP00049528,TMP00036254,-8129335
TMP00049529,TMP00036255,-7947002
TMP00049530,TMP00036256,-7946913
TMP00049531,TMP00036257,-7946912
TMP00049532,TMP00036258,-7946910
TMP00049533,TMP00036259,-8275664
TMP00049534,TMP00036260,-8275650
TMP00049535,TMP00036261,-8275654
TMP00049536,TMP00036262,-8275672
TMP00049537,TMP00036263,-8275708
TMP00049538,TMP00036264,-8275677
TMP00049539,TMP00036265,-8275645
TMP00049540,TMP00036266,-8275713
TMP00049541,TMP00036267,-8275703
TMP00049542,TMP00036268,-8275718
TMP00049543,TMP00036269,-8275409
TMP00049544,TMP00036270,-8275274
TMP00049545,TMP00036271,-7946911
TMP00049546,TMP00036272,-8275661
TMP00049547,TMP00036273,-8275642
TMP00049548,TMP00036274,-8275714
TMP00049549,TMP00036275,-7947021
TMP00049550,TMP00036276,-7947009
TMP00049551,TMP00036277,-7947001
TMP00049552,TMP00036278,-7947007
TMP00049553,TMP00036279,-7947014
TMP00049554,TMP00036280,-7947006
TMP00049555,TMP00036281,-7947008
TMP00049556,TMP00036282,-8275269
TMP00049557,TMP00036283,-8275669
TMP00049558,TMP00036284,-7946915
TMP00049559,TMP00036285,-7946914
TMP00049560,TMP00036286,-8275637
TMP00049561,TMP00036287,-7947325
TMP00049562,TMP00036288,-8275685
TMP00049563,TMP00036289,-8275605
TMP00049564,TMP00036290,-8275602
TMP00049565,TMP00036291,-8275601
TMP00049566,TMP00036292,-8275600
TMP00049567,TMP00036293,-8488543
TMP00049568,TMP00036294,-8275608
TMP00049569,TMP00036295,-8275607
TMP00049570,TMP00036296,-8275606
TMP00049571,TMP00036297,-8488618
TMP00049572,TMP00036298,-8275632
TMP00049573,TMP00036299,-8275588
TMP00049574,TMP00036300,-8275576
TMP00049575,TMP00036301,-8275574
TMP00049576,TMP00036302,-8275573
TMP00049577,TMP00036303,-8275505
TMP00049578,TMP00036304,-8275500
TMP00049579,TMP00036305,-8275488
TMP00049580,TMP00036306,-8275487
TMP00049581,TMP00036307,-8275472
TMP00049582,TMP00036308,-8275470
TMP00049583,TMP00036309,-8275372
TMP00049584,TMP00036310,-8275365
TMP00049585,TMP00036311,-8275364
TMP00049586,TMP00036312,-8275346
TMP00049587,TMP00036313,-8275345
TMP00049588,TMP00036314,-8275333
TMP00049589,TMP00036315,-8275332
TMP00049590,TMP00036316,-8275300
TMP00049591,TMP00036317,-8275290
TMP00049592,TMP00036318,-8275289
TMP00049593,TMP00036319,-8275279
