component,设备数量,非末端数量,馈线数量,馈线,power_source,feeder_trace
1851,4,4,1,TMP00000005,True,True
1862,1,1,1,TMP00000063,True,True
1863,1,1,1,TMP00000044,True,True
1865,2,1,1,TMP00000023,False,False
1870,7,7,1,TMP00000091,True,True
1879,1,1,1,TMP00000019,True,True
1889,1,1,1,TMP00000052,True,True
1899,1,1,1,TMP00000015,True,True
1900,1,1,1,TMP00000140,False,False
1916,5,3,1,TMP00000189,False,True
1919,10,9,1,TMP00000106,True,True
1931,1,1,1,TMP00000140,False,False
1934,1,1,1,TMP00000082,True,True
1940,3,3,1,TMP00000002,True,True
1944,1,1,1,TMP00000019,True,True
1951,1,1,1,TMP00000027,True,True
1966,1,1,1,TMP00000143,False,False
1970,1,1,1,TMP00000038,True,True
1996,1,1,1,TMP00000140,False,False
2008,2,2,1,TMP00000099,True,True
2011,17,17,1,TMP00000110,False,False
2016,4,4,1,TMP00000188,False,True
2019,1,1,1,TMP00000009,True,True
2025,1,1,1,TMP00000118,True,True
2028,1,1,1,TMP00000130,False,False
2031,1,1,1,TMP00000050,True,True
2041,2,2,1,TMP00000074,True,True
2066,1,1,1,TMP00000044,True,True
2069,1,1,1,TMP00000127,True,True
2093,1,1,1,TMP00000133,True,True
2094,1,1,1,TMP00000142,True,True
2101,1,1,1,TMP00000117,True,True
2106,1,1,1,TMP00000116,True,True
2117,1,1,1,TMP00000050,True,True
2123,1,1,1,TMP00000082,True,True
2133,1,1,1,TMP00000070,True,True
2147,2,1,1,TMP00000079,False,True
2151,1,1,1,TMP00000027,True,True
2163,1,1,1,TMP00000095,False,True
2179,1,1,1,TMP00000140,False,False
2185,1,1,1,TMP00000088,True,True
2198,1,1,1,TMP00000027,True,True
2222,1,1,1,TMP00000071,True,True
2231,1,1,1,TMP00000036,True,True
2238,1,1,1,TMP00000188,False,True
2244,1,1,1,TMP00000089,True,True
2276,1,1,1,TMP00000063,True,True
2284,1,1,1,TMP00000140,False,False
2299,1,1,1,TMP00000019,True,True
2312,1,1,1,TMP00000042,True,True
2323,1,1,1,TMP00000013,True,True
2326,1,1,1,TMP00000101,True,True
2334,1,1,1,TMP00000054,True,True
2340,1,1,1,TMP00000104,True,True
2342,1,1,1,TMP00000076,True,True
2355,8,8,1,TMP00000125,True,True
2356,1,1,1,TMP00000101,True,True
2359,7,7,1,TMP00000188,False,True
2362,8,8,1,TMP00000038,True,True
2374,3,2,1,TMP00000011,True,True
2394,1,1,1,TMP00000140,False,False
2404,7,7,1,TMP00000057,False,False
2421,1,1,1,TMP00000079,False,True
2464,2,2,1,TMP00000069,False,False
2482,1,1,1,TMP00000071,True,True
2483,1,1,1,TMP00000013,True,True
2495,1,1,1,TMP00000013,True,True
2496,1,1,1,TMP00000012,False,False
2506,1,1,1,TMP00000039,True,True
2519,1,1,1,TMP00000055,True,True
